,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
107,4,c,none,semantic,gpt2_2_9,gpt2,gpt2,11.984169244766235,0.028550057,0.42639744,1.5896987
108,4,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,10.42405652999878,0.026061399,0.050947264,1.2813151
109,4,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,10.42405652999878,0.024260208,0.27645284,1.8168459
110,4,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,10.42405652999878,0.037395634,0.067215055,1.44136
111,4,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,10.42405652999878,0.039771177,0.17810838,1.8060468
112,4,e,none,double,gpt2_4_3,gpt2,gpt2,10.688106536865234,0.063451454,0.045697004,1.7351506
113,4,e,none,double,gpt2_3_6,gpt2,gpt2,10.688106536865234,0.03926354,0.29753774,1.8160512
114,4,e,none,double,gpt2_6_0,gpt2,gpt2,10.688106536865234,0.053627435,0.23937966,1.7794691
115,4,e,none,double,gpt2_2_9,gpt2,gpt2,10.688106536865234,0.027077865,0.3157032,1.7283244
116,4,h,grammatical,double,gpt2_4_3,gpt2,gpt2,10.452725410461426,0.07846303,0.11835776,1.7481257
117,4,h,grammatical,double,gpt2_3_6,gpt2,gpt2,10.452725410461426,0.034748446,0.2854304,1.7673408
118,4,h,grammatical,double,gpt2_6_0,gpt2,gpt2,10.452725410461426,0.060335916,0.37333596,1.6621923
119,4,h,grammatical,double,gpt2_2_9,gpt2,gpt2,10.452725410461426,0.029128058,0.2547161,1.7728344
120,4,g,semantic,double,gpt2_4_3,gpt2,gpt2,8.285438537597656,0.046051554,0.07932943,1.7097137
121,4,g,semantic,double,gpt2_3_6,gpt2,gpt2,8.285438537597656,0.03781332,0.3558381,1.7836146
122,4,g,semantic,double,gpt2_6_0,gpt2,gpt2,8.285438537597656,0.060187243,0.1326754,1.7371721
123,4,g,semantic,double,gpt2_2_9,gpt2,gpt2,8.285438537597656,0.028823603,0.21417928,1.8016219
124,4,f,double,double,gpt2_4_3,gpt2,gpt2,7.477705001831055,0.07455877,0.13761072,1.6903408
125,4,f,double,double,gpt2_3_6,gpt2,gpt2,7.477705001831055,0.032001913,0.36650446,1.6961756
126,4,f,double,double,gpt2_6_0,gpt2,gpt2,7.477705001831055,0.07138576,0.33034712,1.7350507
127,4,f,double,double,gpt2_2_9,gpt2,gpt2,7.477705001831055,0.025401328,0.24269846,1.7803994
128,5,a,none,grammatical,gpt2_4_3,gpt2,gpt2,12.397627830505371,0.2958122,0.10019784,1.2693826
129,5,a,none,grammatical,gpt2_3_6,gpt2,gpt2,12.397627830505371,0.09571877,0.3460351,1.6950543
130,5,a,none,grammatical,gpt2_6_0,gpt2,gpt2,12.397627830505371,0.33794624,0.16907555,1.664564
131,5,a,none,grammatical,gpt2_2_9,gpt2,gpt2,12.397627830505371,0.04559237,0.4625428,1.4455078
132,5,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,12.663505554199219,0.23304819,0.15952966,1.2201607
133,5,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,12.663505554199219,0.09963098,0.3491647,1.667404
134,5,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,12.663505554199219,0.31314692,0.18137665,1.6928928
135,5,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,12.663505554199219,0.03859622,0.47094882,1.4204826
136,5,c,none,semantic,gpt2_4_3,gpt2,gpt2,12.689902305603027,0.32908523,0.20579042,1.4644217
137,5,c,none,semantic,gpt2_3_6,gpt2,gpt2,12.689902305603027,0.059746336,0.20167428,1.7820387
138,5,c,none,semantic,gpt2_6_0,gpt2,gpt2,12.689902305603027,0.31920698,0.22165138,1.6166596
139,5,c,none,semantic,gpt2_2_9,gpt2,gpt2,12.689902305603027,0.046129115,0.53206235,1.3918858
140,5,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,12.496731758117676,0.37698796,0.049155593,1.3378702
141,5,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,12.496731758117676,0.026140345,0.4387477,1.4536843
142,5,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,12.496731758117676,0.23613377,0.23729154,1.7176373
143,5,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,12.496731758117676,0.055464823,0.4215104,1.5023143
144,5,e,none,double,gpt2_4_3,gpt2,gpt2,10.45426082611084,0.18340321,0.15972687,1.4597768
145,5,e,none,double,gpt2_3_6,gpt2,gpt2,10.45426082611084,0.052690916,0.20506518,1.7460709
146,5,e,none,double,gpt2_6_0,gpt2,gpt2,10.45426082611084,0.109799854,0.25527298,1.5083958
147,5,e,none,double,gpt2_2_9,gpt2,gpt2,10.45426082611084,0.03386338,0.43674654,1.4686202
148,5,h,grammatical,double,gpt2_4_3,gpt2,gpt2,10.540557861328125,0.17417718,0.24371077,1.516356
149,5,h,grammatical,double,gpt2_3_6,gpt2,gpt2,10.540557861328125,0.052330144,0.1582545,1.704545
150,5,h,grammatical,double,gpt2_6_0,gpt2,gpt2,10.540557861328125,0.096932024,0.32097584,1.4772136
151,5,h,grammatical,double,gpt2_2_9,gpt2,gpt2,10.540557861328125,0.031429816,0.48048174,1.4031799
152,5,g,semantic,double,gpt2_4_3,gpt2,gpt2,10.578221321105957,0.23343125,0.06685908,1.351171
153,5,g,semantic,double,gpt2_3_6,gpt2,gpt2,10.578221321105957,0.02273,0.35205996,1.5485882
154,5,g,semantic,double,gpt2_6_0,gpt2,gpt2,10.578221321105957,0.096996315,0.17448442,1.7371868
155,5,g,semantic,double,gpt2_2_9,gpt2,gpt2,10.578221321105957,0.03918562,0.40378624,1.4555682
156,5,f,double,double,gpt2_4_3,gpt2,gpt2,9.640596389770508,0.27014452,0.08158714,1.4101075
157,5,f,double,double,gpt2_3_6,gpt2,gpt2,9.640596389770508,0.023856444,0.32317835,1.5262136
158,5,f,double,double,gpt2_6_0,gpt2,gpt2,9.640596389770508,0.10697859,0.20964833,1.7181236
159,5,f,double,double,gpt2_2_9,gpt2,gpt2,9.640596389770508,0.04050651,0.37153327,1.461092
160,6,a,none,grammatical,gpt2_4_3,gpt2,gpt2,8.419658660888672,0.8113925,0.03593713,0.66168404
161,6,a,none,grammatical,gpt2_3_6,gpt2,gpt2,8.419658660888672,0.059232324,0.12029118,1.7034551
162,6,a,none,grammatical,gpt2_6_0,gpt2,gpt2,8.419658660888672,0.13756669,0.04506277,1.7445109
163,6,a,none,grammatical,gpt2_2_9,gpt2,gpt2,8.419658660888672,0.035077956,0.59264493,1.316748
164,6,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,8.142728805541992,0.7850751,0.08109286,0.76405174
165,6,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,8.142728805541992,0.05226229,0.10888756,1.6071663
166,6,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,8.142728805541992,0.11651012,0.08486726,1.8530781
167,6,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,8.142728805541992,0.037116993,0.5397326,1.4083357
168,6,c,none,semantic,gpt2_4_3,gpt2,gpt2,10.611273288726807,0.6161488,0.2091138,1.0985179
169,6,c,none,semantic,gpt2_3_6,gpt2,gpt2,10.611273288726807,0.045212403,0.10519655,1.7297673
170,6,c,none,semantic,gpt2_6_0,gpt2,gpt2,10.611273288726807,0.12300908,0.068067014,1.7049505
171,6,c,none,semantic,gpt2_2_9,gpt2,gpt2,10.611273288726807,0.112601094,0.46829173,1.5813131
172,6,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,9.977086305618286,0.66606,0.04599157,1.0735176
