,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
46,6,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.237730979919434,0.16323665,0.27043426,1.8529229
47,6,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.842497825622559,0.13236023,0.34128225,1.7672404
48,7,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.880351066589355,0.080959946,0.2116331,1.8353635
49,7,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.721795082092285,0.07391137,0.25179783,1.7741883
50,7,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,7.973593711853027,0.16277422,0.32352552,1.7415265
51,7,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,7.038003444671631,0.16809136,0.31807625,1.7567172
52,7,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.305758476257324,0.16166034,0.21364789,1.7140191
53,7,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.265430450439453,0.11568304,0.36145332,1.5947174
54,7,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.983601570129395,0.114234366,0.275625,1.8129694
55,7,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.767488479614258,0.1035065,0.3526455,1.7274896
56,8,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.977381706237793,0.22383311,0.19325952,1.7570238
57,8,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.220329284667969,0.21035492,0.22772884,1.733289
58,8,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,15.580899238586426,0.133335,0.12868074,1.730823
59,8,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,15.881747245788574,0.15457338,0.115863286,1.7394013
60,8,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,15.139963150024414,0.20110188,0.17431675,1.7724892
61,8,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.298551559448242,0.19734608,0.20081215,1.7531768
62,8,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,15.195913314819336,0.22019757,0.16530415,1.7721633
63,8,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.492003440856934,0.20354113,0.20591466,1.7578104
64,9,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.452140808105469,0.19221097,0.1603758,1.7681091
65,9,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.452140808105469,0.19221097,0.1603758,1.7681091
66,9,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.246916770935059,0.1838119,0.17210281,1.7350147
67,9,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,5.97761869430542,0.18248212,0.19656745,1.738077
68,9,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.195311546325684,0.1815516,0.14986496,1.7027949
69,9,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,7.547815322875977,0.17715493,0.19943546,1.6890631
70,9,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.028539657592773,0.17807549,0.17853825,1.7131939
71,9,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,7.2069902420043945,0.18189126,0.20115052,1.6988072
72,10,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.432075500488281,0.17151733,0.2742735,1.736083
73,10,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.067044258117676,0.14983831,0.30823362,1.7029853
74,10,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.904598236083984,0.16636509,0.14461666,1.7770782
75,10,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.701247215270996,0.17273228,0.112055086,1.7647855
76,10,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.374776840209961,0.1517514,0.16378804,1.7781873
77,10,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.0385103225708,0.12944971,0.25484475,1.743619
78,10,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.277568817138672,0.15072381,0.1391566,1.774135
79,10,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.77355670928955,0.14553459,0.2169505,1.7692215
80,11,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.274430274963379,0.17387708,0.14324807,1.7660484
81,11,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.410015106201172,0.17421173,0.12691781,1.7653813
82,11,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.483774185180664,0.1954929,0.17616709,1.7787545
83,11,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.983809471130371,0.18833089,0.1937413,1.7639236
84,11,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.331486701965332,0.20624658,0.16800651,1.7587754
85,11,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.089213371276855,0.21706302,0.1342006,1.7546662
86,11,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.274038314819336,0.18456633,0.21786837,1.7386532
87,11,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.79301929473877,0.16887973,0.27079144,1.6924596
88,12,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.32052230834961,0.12919594,0.24339528,1.7341182
89,12,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.826635360717773,0.11712886,0.28235313,1.7047421
90,12,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.997775077819824,0.15233909,0.13046125,1.7440152
91,12,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.690250396728516,0.14538491,0.13382423,1.7471852
92,12,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.418364524841309,0.12871978,0.11131616,1.707374
93,12,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.105512619018555,0.12258848,0.13624358,1.7135173
94,12,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.645258903503418,0.12168065,0.14826131,1.7308123
95,12,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.026062965393066,0.12191278,0.14098457,1.7234169
96,13,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.38102912902832,0.24685974,0.20503058,1.742043
97,13,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.434429168701172,0.24497408,0.1859269,1.7476523
98,13,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.19976806640625,0.1988605,0.18076338,1.7526258
99,13,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.259418487548828,0.19694081,0.15153794,1.7548268
100,13,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.766019821166992,0.21215537,0.19454734,1.7625897
101,13,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.425274848937988,0.19882809,0.17127985,1.7678558
102,13,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.791746139526367,0.20120606,0.17071608,1.7697155
103,13,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.518896102905273,0.1901471,0.17059007,1.7711486
104,14,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.69964599609375,0.15525126,0.11079492,1.7166729
105,14,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.57400131225586,0.15911351,0.13092837,1.713487
106,14,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.58652114868164,0.20011511,0.16480346,1.7532055
107,14,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.780924797058105,0.18563701,0.19084673,1.7407992
108,14,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.151876449584961,0.2260626,0.15730542,1.7597431
109,14,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.185213088989258,0.22786269,0.17307195,1.7449107
110,14,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.848379135131836,0.21555462,0.15656134,1.7472372
111,14,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.881019592285156,0.21637318,0.16590007,1.7293096
112,15,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.515451431274414,0.23426887,0.1833646,1.7517952
113,15,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.830963134765625,0.21650913,0.19077007,1.7535305
114,15,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.571878433227539,0.19114392,0.17937347,1.751234
115,15,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.607367515563965,0.1872584,0.1356365,1.8851438
116,15,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.397492408752441,0.2411014,0.175407,1.7499356
117,15,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.286375045776367,0.21828364,0.18707335,1.7562275
118,15,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.81309986114502,0.23543036,0.1407073,1.8820944
119,15,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.229645729064941,0.21862209,0.20857589,1.8596761
120,16,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.203273773193359,0.21133423,0.07978327,1.8146443
121,16,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.203273773193359,0.21133423,0.07978327,1.8146443
122,16,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.203273773193359,0.21133423,0.07978327,1.8146443
123,16,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,6.670925140380859,0.18314362,0.11398046,1.9226665
124,16,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.73198413848877,0.08973631,0.110307746,1.8668222
125,16,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.73198413848877,0.08973631,0.110307746,1.8668222
126,16,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.510934829711914,0.08405962,0.10677165,1.946163
127,16,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.816474914550781,0.0695383,0.159316,1.9118737
128,17,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.20669937133789,0.12469864,0.19863003,1.8622264
129,17,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.975961685180664,0.12461174,0.22853746,1.8325202
130,17,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.539583206176758,0.13634282,0.14960271,1.9205562
131,17,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.212774276733398,0.13320309,0.12371736,1.9121195
132,17,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.970577239990234,0.16563597,0.17234655,1.9090008
